,StartDate,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q3_4_TEXT,Q22,Q22_7_TEXT,Q4,Q5,Q6,Q6_5_TEXT,Q7,Q9,Q9_7_TEXT,Q20,Q20_5_TEXT,Q10,Q11,Q12,Q12_6_TEXT,Q13,Q13_6_TEXT,Q24_1,Q15
2983,2024-11-18 08:24:23,I would like to complete:,"I have completed:,I would like to complete:",,I have completed:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Computer Engineering,"Energy sector research, VLSI"
2984,2024-11-18 08:26:39,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Could not consider unpaid internships",,Econ and CS,"consulting, computer science, finance "
2985,2024-11-18 08:27:30,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Computer Science (BA) in the College of Arts & Sciences,No idea
2986,2024-11-18 08:24:41,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,1,Career Services - Career Fair,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do,Made industry connections",,I did not face any barriers,,Civil Engineering,I don’t know yet. I will most likely continue my education and get a masters. I am not sure if I want to pursue research or become a structural engineer.
2987,2024-11-18 08:26:27,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,"Personal Contact /Direct Correspondence - Family & Friends,Other - Please describe:",I am going to be media officer in the Hoos Motorsports Club and the president of the club has connections to Pohanka Automotive Group and he helped me get a marketing internship with them for this Summer.,,,Yes,,,,I did not face any barriers,,Media Studies,"Marketing in Motorsports, Cars, Racing"
2988,2024-11-18 08:28:16,I have completed:,I would like to complete:,,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,2,"Career Services - Career Fair,Online Resources - LinkedIn, Indeed, Glassdoor, Other,Previous Employment (Internship)",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,Could not consider unpaid internships,,Computer Engineering,Engineering 
2989,2024-11-18 08:29:03,I would like to complete:,I would like to complete:,I have completed:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,English,Law
2990,2024-11-18 08:30:19,,I would like to complete:,I have completed:,,Second Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I'm already involved in too many extracurricular activities,,,,,,,,Anthropology,Medical School
2991,2024-11-18 08:28:26,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,Currently applying to a specific school,I have completed an internship,,3+,Personal Contact /Direct Correspondence - Family & Friends,,,,No,Remote/Online,"Learned more about the industry,Developed relevant skills,Figured out what I want to do",,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,Public Policy and Leadership intended,Legal field
2992,2024-11-18 08:30:36,I would like to complete:,I would like to complete:,"I have completed:,I would like to complete:",I would like to complete:,Second Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not have the proper skills",,Psychology,Pre Pa
2993,2024-11-18 08:30:36,I would like to complete:,,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Did not know how to navigate the internship search,,Computer Science (BA) in the College of Arts & Sciences,Software Developer or IP Law
2994,2024-11-18 08:32:31,I would like to complete:,,,,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Difficult to find opportunities in my field,,English/Pre-Comm,Marketing/Branding
2995,2024-11-18 08:33:57,I would like to complete:,I have completed:,,I have completed:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Did not know how to navigate the internship search,Could not consider unpaid internships",,Mechanical Engineering,Space and aerospace engineering/systems engineering
2996,2024-11-18 08:34:19,I would like to complete:,I would like to complete:,,I have completed:,Second Year,,,,No,School of Data Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search",,Data Science,Data Scientst
2997,2024-11-18 08:32:44,,I have completed:,I would like to complete:,I would like to complete:,Second Year,,,,Yes,College of Arts and Sciences,I have completed an internship,,1,Personal Contact/Direct Correspondence - Other,,,,No,In Virginia,Figured out what I want to do,,Difficult to find opportunities in my field,,Biology,Pre Pa 
2998,2024-11-18 08:34:46,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search",,Economics,Consulting 
2999,2024-11-18 08:34:08,I would like to complete:,I would like to complete:,,I have completed:,Third Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,Media Studies,"Public Relations, Production Management (in Entertainment), & Communications."
3000,2024-11-18 08:34:16,,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search,Could not consider unpaid internships",,Biology or Neuroscience,Pre-Med
3001,2024-11-18 08:34:51,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,"Career Services - Handshake,Career Services - Career Fair",,,,Yes,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have the proper skills",,Economics,Consulting
3002,2024-11-18 08:32:21,,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,Other - Please describe:,I want to seek an internship but haven started yet,,,,,,,,,,,,Astronomy and Archaeology ,"Research, National Park Service"
3003,2024-11-18 08:36:02,I would like to complete:,I would like to complete:,,I have completed:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Did not know how to navigate the internship search,Did not have confidence in interviews",,Statistics,"Data Analytics, non-profit work"
3004,2024-11-18 08:36:25,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have the proper skills,Could not consider unpaid internships",,History,Government/Foreign Service
